"","TL0_keTL0_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","L0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","param.to.change1","fold.change.param1","param","drug"
"1",0.00726,5e-07,2.5e-07,7.33333,6887.92,4.24725e-09,NA,NA,NA,NA,0,8.41139e-05,4.24849e-09,1.5e-06,1e-06,3.66667e-07,5e-07,7.33333,2.50046e-07,7.33333,6905.65,6.47343e-05,357,2.37359e-11,-0.294163,0,1.5e-06,1e-06,"ksynT","Pembro"
"2",0.00726,5e-06,2.5e-06,7.33333,6887.92,4.24725e-08,NA,NA,NA,NA,0,8.41139e-05,4.24849e-08,1.5e-05,1e-05,3.66667e-06,5e-06,7.33333,2.50051e-06,7.33333,6905.65,8.34485e-05,357,3.05978e-10,-0.0444987,0,1.5e-05,1e-05,"ksynT","Pembro"
"3",0.00726,5e-05,2.5e-05,7.33333,6887.92,4.24725e-07,NA,NA,NA,NA,0,8.41139e-05,4.24849e-07,0.00015,1e-04,3.66667e-05,5e-05,7.33333,2.50051e-05,7.33333,6905.64,8.34384e-05,357,3.05941e-09,-0.000187635,0,0.00015,1e-04,"ksynT","Pembro"
"4",0.00726,5e-04,0.00025,7.33333,6887.92,4.24725e-06,NA,NA,NA,NA,0,8.41139e-05,4.24849e-06,0.0015,0.001,0.000366667,5e-04,7.33333,0.000250051,7.33333,6905.62,8.34476e-05,357,3.05975e-08,-8.5182e-05,0,0.0015,0.001,"ksynT","Pembro"
"5",0.00726,0.005,0.0025,7.33333,6887.92,4.24725e-05,NA,NA,NA,NA,0,8.41139e-05,4.24849e-05,0.015,0.01,0.00366667,0.005,7.33333,0.00250051,7.33333,6905.41,8.34506e-05,357,3.05986e-07,-9.09811e-05,0,0.015,0.01,"ksynT","Pembro"
"6",0.00726,0.05,0.025,7.33333,6887.92,0.000424725,NA,NA,NA,NA,0,8.41139e-05,0.000424849,0.15,0.1,0.0366667,0.05,7.33333,0.0250051,7.33333,6903.28,8.34763e-05,357,3.0608e-06,-9.08212e-05,0,0.15,0.1,"ksynT","Pembro"
"7",0.00726,0.5,0.25,7.33333,6887.92,0.00424725,NA,NA,NA,NA,0,8.41139e-05,0.00424849,1.5,1,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.37339e-05,357,3.07024e-05,-9.08325e-05,0,1.5,1,"ksynT","Pembro"
"8",0.00726,5,2.5,7.33333,6887.92,0.0424725,NA,NA,NA,NA,0,8.41139e-05,0.0424849,15,10,3.66667,5,7.33333,2.50053,7.33333,6668.42,8.63998e-05,357,0.000316799,-9.10868e-05,0,15,10,"ksynT","Pembro"
"9",0.00726,50,25,7.33333,6887.92,0.424725,NA,NA,NA,NA,0,8.41139e-05,0.424849,150,100,36.6667,50,7.33333,25.0078,7.33327,4533.39,0.000126756,357,0.00464771,-9.51498e-05,-1.93784e-16,150,100,"ksynT","Pembro"
"10",0.00726,500,250,7.33333,6887.92,4.24725,NA,NA,NA,NA,0,8.41139e-05,4.24849,1500,1000,366.667,500,7.33333,703.307,4.37318,0.0110297,0.576364,357,211.333,-3.11431e-08,0,1500,1000,"ksynT","Pembro"
"11",0.00726,5000,2500,7.33333,6887.92,42.4725,NA,NA,NA,NA,0,8.41139e-05,42.4849,15000,10000,3666.67,5000,7.33333,5710.17,1.44158,5.92562e-05,0.195365,357,716.337,-1.34379e-05,0,15000,10000,"ksynT","Pembro"
"12",0.00726,50000,25000,7.33333,6887.92,424.725,NA,NA,NA,NA,0,8.41139e-05,424.849,150000,1e+05,36666.7,50000,7.33333,86633.7,7.32675,1.84633e-10,0.999102,357,36633.7,-5.10202e-05,0,150000,1e+05,"ksynT","Pembro"
"13",0.00726,5e+05,250000,7.33333,6887.92,4247.25,NA,NA,NA,NA,0,8.41139e-05,4248.49,1500000,1e+06,366667,5e+05,7.33333,866664,7.33327,1.58092e-12,0.999991,357,366664,-5.32849e-07,3.17496e-16,1500000,1e+06,"ksynT","Pembro"
"14",0.00726,0.5,250000,7.33333,6887.92,1552.58,NA,NA,NA,NA,0,0.417775,1552.75,6e-06,1e-06,0.366667,0.5,7.33333,492.547,7.33312,6882.94,0.0602979,357,0.0221092,0.0609572,0,6e-06,1e-06,"keDT","Pembro"
"15",0.00726,0.5,25000,7.33333,6887.92,155.261,NA,NA,NA,NA,0,0.372255,155.277,6e-05,1e-05,0.366667,0.5,7.33333,488.136,7.33312,6882.93,0.0597588,357,0.0219116,0.0604346,0,6e-05,1e-05,"keDT","Pembro"
"16",0.00726,0.5,2500,7.33333,6887.92,15.5285,NA,NA,NA,NA,0,0.178165,15.5302,6e-04,1e-04,0.366667,0.5,7.33333,446.823,7.33314,6882.85,0.0547092,357,0.02006,0.0553649,0,6e-04,1e-04,"keDT","Pembro"
"17",0.00726,0.5,250,7.33333,6887.92,1.55528,NA,NA,NA,NA,0,0.0287134,1.55544,0.006,0.001,0.366667,0.5,7.33333,213.39,7.33325,6882.39,0.0261664,357,0.00959434,0.0199192,0,0.006,0.001,"keDT","Pembro"
"18",0.00726,0.5,25,7.33333,6887.92,0.157953,NA,NA,NA,NA,0,0.00310527,0.15797,0.06,0.01,0.366667,0.5,7.33333,24.9406,7.33332,6881.98,0.00310594,357,0.00113885,-9.05318e-05,0,0.06,0.01,"keDT","Pembro"
"19",0.00726,0.5,2.5,7.33333,6887.92,0.0182209,NA,NA,NA,NA,0,0.000360558,0.0182232,0.6,0.1,0.366667,0.5,7.33333,2.49944,7.33333,6881.93,0.000359067,357,0.000131658,-9.09477e-05,0,0.6,0.1,"keDT","Pembro"
"20",0.00726,0.5,0.25,7.33333,6887.92,0.00424725,NA,NA,NA,NA,0,8.41139e-05,0.00424849,6,1,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.37339e-05,357,3.07024e-05,-9.0884e-05,0,6,1,"keDT","Pembro"
"21",0.00726,0.5,0.025,7.33333,6887.92,0.00284545,NA,NA,NA,NA,0,5.64497e-05,0.00285101,60,10,0.366667,0.5,7.33333,0.0250474,7.33333,6881.93,5.61925e-05,357,2.06039e-05,-9.0849e-05,0,60,10,"keDT","Pembro"
