"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"1",1e-06,NA,Inf,1e-06,5e-07,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,1e-06,1e-06,1e-06,1e-06,5.00258e-07,1,6905.02,0.000169877,314.9,1.69877e-10,1e-06,1e-06,"T0","Pembro"
"2",1e-05,NA,Inf,1e-05,5e-06,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,1e-05,1e-05,1e-05,1e-05,5.00258e-06,1,6905.02,0.000169891,314.9,1.69891e-09,1e-05,1e-05,"T0","Pembro"
"3",1e-04,NA,Inf,1e-04,5e-05,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,1e-04,1e-04,1e-04,1e-04,5.00258e-05,1,6905.01,0.000169692,314.9,1.69692e-08,1e-04,1e-04,"T0","Pembro"
"4",0.001,NA,Inf,0.001,5e-04,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,0.001,0.001,0.001,0.001,0.000500258,1,6904.97,0.000169697,314.9,1.69697e-07,0.001,0.001,"T0","Pembro"
"5",0.01,NA,Inf,0.01,0.005,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,0.01,0.01,0.01,0.01,0.00500258,1,6904.55,0.000169707,314.9,1.69707e-06,0.01,0.01,"T0","Pembro"
"6",0.1,NA,Inf,0.1,0.05,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,0.1,0.1,0.1,0.1,0.0500258,1,6900.28,0.000169807,314.9,1.69807e-05,0.1,0.1,"T0","Pembro"
"7",1,NA,Inf,1,0.5,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,1,1,1,1,0.50026,0.999998,6857.58,0.000170812,314.9,0.000170812,1,1,"T0","Pembro"
"8",10,NA,Inf,10,5,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,10,10,10,10,5.00276,0.999983,6430.64,0.000181558,314.9,0.00181558,10,10,"T0","Pembro"
"9",100,NA,Inf,100,50,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,100,100,100,100,50.0768,0.998758,2162.05,0.000492662,314.9,0.0492662,100,100,"T0","Pembro"
"10",1000,NA,Inf,1000,500,1,6887.92,0.000179214,NA,NA,NA,NA,0,0.000179329,0.000179342,1000,1000,1000,1000,1069.63,0.0791967,0.0060898,0.0731988,314.9,73.1988,1000,1000,"T0","Pembro"
