"","T0_thy","Ttotss_thy","Lss_thy","Dss_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","param.to.change","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Lss_sim","Dss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","error_simulation","param","fold.change.param","drug"
"1",5e-07,2.5e-07,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,1.5e-06,3.66667e-07,5e-07,7.33333,2.50051e-07,7.33333,6905.65,8.0509e-05,8.34533e-05,357,3.05995e-11,-0.000216762,0,0,"ksynT",1e-06,"Pembro"
"2",5e-06,2.5e-06,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,1.5e-05,3.66667e-06,5e-06,7.33333,2.50055e-06,7.33333,6905.65,-0.000496791,9.60555e-05,357,3.52203e-10,0.131467,0,0,"ksynT",9.99999999999999e-06,"Pembro"
"3",5e-05,2.5e-05,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,0.00015,3.66667e-05,5e-05,7.33333,2.50051e-05,7.33333,6905.64,8.39548e-05,8.34478e-05,357,3.05975e-09,-0.000173107,0,0,"ksynT",9.99999999999998e-05,"Pembro"
"4",5e-04,0.00025,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,0.0015,0.000366667,5e-04,7.33333,0.000250051,7.33333,6905.62,8.35395e-05,8.34486e-05,357,3.05978e-08,-8.23521e-05,0,0,"ksynT",0.001,"Pembro"
"5",0.005,0.0025,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,0.015,0.00366667,0.005,7.33333,0.00250051,7.33333,6905.41,8.39944e-05,8.34503e-05,357,3.05984e-07,-9.45922e-05,0,0,"ksynT",0.00999999999999999,"Pembro"
"6",0.05,0.025,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,0.15,0.0366667,0.05,7.33333,0.0250051,7.33333,6903.28,8.39257e-05,8.34763e-05,357,3.0608e-06,-9.08225e-05,0,0,"ksynT",0.0999999999999998,"Pembro"
"7",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,1.5,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-05,-9.08869e-05,0,0,"ksynT",0.999999999999999,"Pembro"
"8",5,2.5,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,15,3.66667,5,7.33333,2.50053,7.33333,6668.42,8.68813e-05,8.63998e-05,357,0.000316799,-9.10868e-05,0,0,"ksynT",9.99999999999997,"Pembro"
"9",50,25,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,150,36.6667,50,7.33333,25.0078,7.33327,4533.39,0.000127793,0.000126756,357,0.00464771,-9.51474e-05,-1.93784e-16,0,"ksynT",99.9999999999998,"Pembro"
"10",500,250,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,1500,366.667,500,7.33333,703.307,4.37318,0.0110297,0.974476,0.576364,357,211.333,1.23605e-08,0,0,"ksynT",999.999999999999,"Pembro"
"11",5000,2500,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,15000,3666.67,5000,7.33333,5710.17,1.44158,5.92562e-05,0.998714,0.195365,357,716.337,-1.34314e-05,0,0,"ksynT",9999.99999999997,"Pembro"
