id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL,Cavgss
1,1,1,1.73,-6.9e-13,8.38e-13,1,178000,1210,22200,480000,18.4,85.1,1.79,211,15.1,0.447,26.2,5.76,87.8,2780,3970,171
2,0.747,0.747,4.54e-11,3.67e-14,0,0.999,1390,2.93,1930,1930,44.7,0.000253,0.000133,1400,5.89,661,3.26,0.00219,553,27.1,128,414
3,0.993,1,8.18,1.76e-12,4.34e-16,1,3540,0.14,0.145,58800,3.09,5.31,1.19,5.61,7.83,147,17.8,40.5,0.738,1550,509,28.6
4,0.00015,0.00015,7.66e-08,2.15e-08,1.06e-15,0.0659,0.0706,0.00197,0.0678,0.0706,990,0.441,0.0479,1.57,115,775,2.29,28.5,41.2,4450,2650,9170
5,0.996,0.996,1.14e-05,8.87e-05,-1.48e-16,1,123000,58,5360,123000,1.37,0.0011,0.102,109,557,1.94,477,2.37,9.36,94.9,1350,12.7
6,0.113,0.113,2.24e-07,-1.13e-10,-4.28e-16,0.983,59,0.00929,49.3,59.1,11,0.0631,0.00594,1.68,96.3,183,714,53.4,0.547,40.8,3.78,102
7,0.984,0.984,0.00219,-6.31e-14,0,1,5130,0.00379,1.4,5350,0.355,0.851,0.862,2.78,13.6,923,223,290,286,7.44,5.02,3.29
8,1,1,1.81,1.47e-12,-1.23e-16,1,29900000,3120,10100,32100000,0.262,4.33,164,3.12,67.9,0.0453,449,1.54,389,67.7,212,2.42
9,1,1,433,-1.31e-16,0,1,1.77e+09,2.71,2.71,2.57e+09,0.181,0.323,640,768,53.5,13.4,35.6,70.8,0.0782,4.96,89.3,1.68
10,1,1,1.33e-09,8.86e-13,3.1e-16,1,287000,5000,287000,287000,452,0.000361,3e-04,829,2.37,0.163,115,21.1,0.0526,2.72,1.41,4180
11,0.0041,0.00502,1.16e-07,6.45e-07,1.46e-16,0.66,1.94,2.2,2.38,2.39,286,0.00238,0.0181,39.7,1.06,1.79,189,0.012,0.792,227,178,2650
12,1,1,1.12e-10,-1.15e-16,0,1,21800000,138,20500000,21800000,2.59,0.000277,0.000322,98.3,28.3,0.713,90.1,341,796,278,2450,24
13,1,1,621,-1.74e-13,0,1,52700,2.7,2.7,6940000,145,61.3,278,239,14.5,323,847,221,12.5,28.1,56.8,1350
14,1,1,11900,-3.05e-16,-9.16e-16,1,1680000,164,164,4.62e+10,30.7,54.9,2.56,1100,1.99,0.102,11.7,1.18,0.01,5.28,6630,284
15,0.999,1,0.245,2.01e-11,1.93e-15,0.992,125,76.4,508,512,160,737,0.0375,20.7,40.2,0.938,18.9,0.676,106,11.8,2.79,1480
16,0.999,0.999,0.136,2.12e-11,0,1,180000,0.628,19.5,183000,2.19,4.16,0.0138,29.1,821,45.8,1.67,513,0.306,86,14.3,20.2
