"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"1",2.25185,0.00134785,0.00865574,0.002,0.2,0.01,8822.94,0.0618759,0.658317,0.662603,0.659657,0.662603,0.102512,0.20212,0.20441,0.011664,1e-04,0.00134785,0.000844698,0.138231,0.00891577,8845.59,0.403487,314.9,0.000543841,0.011664,1e-04,"koff_TL","VEGFR2"
"2",0.587769,0.00134515,0.00867311,0.002,0.2,0.01,8822.94,0.127535,0.65605,0.660305,0.657385,0.660305,0.10175,0.20212,0.20441,0.044687,0.000383119,0.00134515,0.000847011,0.138368,0.00892007,8845.59,0.402695,314.9,0.000541686,0.044687,0.000383119,"koff_TL","VEGFR2"
"3",0.153417,0.00133493,0.00873953,0.002,0.2,0.01,8822.94,0.176392,0.64758,0.651721,0.648898,0.651721,0.0989154,0.20212,0.20441,0.171204,0.0014678,0.00133493,0.000855774,0.138884,0.00893622,8845.59,0.399713,314.9,0.000533589,0.171204,0.0014678,"koff_TL","VEGFR2"
"4",0.0400442,0.0012974,0.00899236,0.002,0.2,0.01,8822.94,0.195988,0.617985,0.621741,0.619244,0.621741,0.0891615,0.20212,0.20441,0.655915,0.00562341,0.0012974,0.000887945,0.140717,0.00899383,8845.59,0.389023,314.9,0.000504718,0.655915,0.00562341,"koff_TL","VEGFR2"
"5",0.0104522,0.00117359,0.00994102,0.002,0.2,0.01,8822.94,0.201842,0.534618,0.537397,0.535708,0.537397,0.0631144,0.20212,0.20441,2.51293,0.0215443,0.00117359,0.000994067,0.146169,0.00916624,8845.58,0.356425,314.9,0.000418296,2.51293,0.0215443,"koff_TL","VEGFR2"
"6",0.00272818,0.00087036,0.0134044,0.002,0.2,0.01,8822.94,0.203427,0.393252,0.394731,0.394054,0.394731,0.0255342,0.20212,0.20441,9.62751,0.0825404,0.00087036,0.00125398,0.156432,0.00949548,8845.57,0.290902,314.9,0.00025319,9.62751,0.0825404,"koff_TL","VEGFR2"
"7",0.000712098,0.000449894,0.025932,0.002,0.2,0.01,8822.94,0.203845,0.277535,0.278277,0.278102,0.278277,0.00481495,0.20212,0.20441,36.8848,0.316228,0.000449894,0.00161438,0.165715,0.00979869,8845.56,0.224613,314.9,0.000101052,36.8848,0.316228,"koff_TL","VEGFR2"
"8",0.000185869,0.000160685,0.072606,0.002,0.2,0.01,8822.94,0.203955,0.226313,0.226817,0.226776,0.226817,0.000500855,0.20212,0.20441,141.313,1.21153,0.000160685,0.00186227,0.169958,0.00993899,8845.55,0.190611,314.9,3.06283e-05,141.313,1.21153,"koff_TL","VEGFR2"
"9",4.85147e-05,4.65867e-05,0.250429,0.002,0.2,0.01,8822.94,0.203983,0.210097,0.210536,0.210526,0.210536,3.90838e-05,0.20212,0.20441,541.395,4.64159,4.65867e-05,0.00196007,0.171293,0.00998338,8845.55,0.179161,314.9,8.34655e-06,541.395,4.64159,"koff_TL","VEGFR2"
"10",1.26631e-05,1.25273e-05,0.931298,0.002,0.2,0.01,8822.94,0.203991,0.205607,0.20603,0.206027,0.20603,2.76571e-06,0.20212,0.20441,2074.19,17.7828,1.25273e-05,0.00198926,0.17166,0.00999561,8845.55,0.17593,314.9,2.20393e-06,2074.19,17.7828,"koff_TL","VEGFR2"
"11",3.30527e-06,3.29593e-06,3.53972,0.002,0.2,0.01,8822.94,0.203993,0.204416,0.204835,0.204834,0.204835,1.90338e-07,0.20212,0.20441,7946.59,68.1292,3.29593e-06,0.00199717,0.171758,0.00999885,8845.55,0.175069,314.9,5.77015e-07,7946.59,68.1292,"koff_TL","VEGFR2"
"12",8.62727e-07,8.62089e-07,13.533,0.002,0.2,0.01,8822.94,0.203993,0.204104,0.204521,0.204521,0.204521,1.3002e-08,0.20212,0.20441,30444.9,261.016,8.62089e-07,0.00199926,0.171783,0.0099997,8845.55,0.174843,314.9,1.5073e-07,30444.9,261.016,"koff_TL","VEGFR2"
"13",2.25185e-07,2.25142e-07,51.8192,0.002,0.2,0.01,8822.94,0.203993,0.204022,0.204439,0.204439,0.204439,8.86426e-10,0.20212,0.20441,116640,1000,2.25142e-07,0.00199981,0.17179,0.00999992,8845.55,0.174783,314.9,3.9351e-08,116640,1000,"koff_TL","VEGFR2"
"14",2.25185e-08,2.14165e-08,544.75,0.002,0.2,0.01,8822.94,0.203993,0.203996,0.204413,0.204413,0.204413,8.01999e-12,0.20212,0.20441,0.131328,1e-04,2.14165e-08,0.00199998,0.171792,0.00999999,8845.55,0.174729,314.9,3.74209e-09,0.131328,1e-04,"kon_TL","VEGFR2"
"15",8.62727e-08,8.20476e-08,142.194,0.002,0.2,0.01,8822.94,0.203993,0.204004,0.204421,0.204421,0.204421,1.17713e-10,0.20212,0.20441,0.503142,0.000383119,8.20476e-08,0.00199993,0.171791,0.00999997,8845.55,0.174735,314.9,1.43366e-08,0.503142,0.000383119,"kon_TL","VEGFR2"
"16",3.30527e-07,3.14294e-07,37.1202,0.002,0.2,0.01,8822.94,0.203993,0.204034,0.204451,0.204451,0.204451,1.72754e-09,0.20212,0.20441,1.92763,0.0014678,3.14294e-07,0.00199973,0.171789,0.00999989,8845.55,0.174756,314.9,5.49248e-08,1.92763,0.0014678,"kon_TL","VEGFR2"
"17",1.26631e-06,1.20345e-06,9.69438,0.002,0.2,0.01,8822.94,0.203993,0.204148,0.204565,0.204565,0.204565,2.53426e-08,0.20212,0.20441,7.38512,0.00562341,1.20345e-06,0.00199897,0.17178,0.00999958,8845.55,0.174839,314.9,2.10409e-07,7.38512,0.00562341,"kon_TL","VEGFR2"
"18",4.85147e-06,4.60078e-06,2.5358,0.002,0.2,0.01,8822.94,0.203992,0.204584,0.205003,0.205002,0.205003,3.71182e-07,0.20212,0.20441,28.2938,0.0215443,4.60078e-06,0.00199606,0.171744,0.00999839,8845.55,0.175155,314.9,8.05852e-07,28.2938,0.0215443,"kon_TL","VEGFR2"
"19",1.85869e-05,1.74837e-05,0.667287,0.002,0.2,0.01,8822.94,0.20399,0.206251,0.206676,0.206673,0.206676,5.40403e-06,0.20212,0.20441,108.399,0.0825404,1.74837e-05,0.00198501,0.171608,0.00999386,8845.55,0.176363,314.9,3.08348e-06,108.399,0.0825404,"kon_TL","VEGFR2"
"20",7.12098e-05,6.49841e-05,0.179531,0.002,0.2,0.01,8822.94,0.203979,0.212586,0.213035,0.21302,0.213035,7.69487e-05,0.20212,0.20441,415.296,0.316228,6.49841e-05,0.0019443,0.171089,0.00997658,8845.55,0.180916,314.9,1.17567e-05,415.296,0.316228,"kon_TL","VEGFR2"
"21",0.000272818,0.000224046,0.0520726,0.002,0.2,0.01,8822.94,0.203937,0.236185,0.23673,0.236668,0.23673,0.0010162,0.20212,0.20441,1591.08,1.21153,0.000224046,0.00180796,0.169141,0.00991189,8845.55,0.197423,314.9,4.42319e-05,1591.08,1.21153,"kon_TL","VEGFR2"
"22",0.00104522,0.000632797,0.0184367,0.002,0.2,0.01,8822.94,0.203776,0.320135,0.321115,0.320789,0.321115,0.0109879,0.20212,0.20441,6095.71,4.64159,0.000632797,0.0014576,0.16222,0.00968387,8845.56,0.250748,314.9,0.000158672,6095.71,4.64159,"kon_TL","VEGFR2"
"23",0.00400442,0.00127966,0.00911699,0.002,0.2,0.01,8822.94,0.203164,0.604772,0.608363,0.606004,0.608363,0.084886,0.20212,0.20441,23353.8,17.7828,0.00127966,0.000903146,0.141504,0.00901808,8845.59,0.384913,314.9,0.000492559,23353.8,17.7828,"kon_TL","VEGFR2"
"24",0.0153417,0.00185979,0.00627312,0.002,0.2,0.01,8822.94,0.20085,1.57698,1.60372,1.58015,1.60372,0.467525,0.20212,0.20441,89472.7,68.1292,0.00185979,0.000405897,0.0994977,0.00774419,8845.64,0.607782,314.9,0.00113034,89472.7,68.1292,"kon_TL","VEGFR2"
